INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr
Whitlow,AZ-TNF,411,842,Human,4/21/20,4/27/20,33.29627,-111.252,Short Grass (1 foot),AZ,TNF,411,USFS,7,CWZ,PHC
Charlie Moore,AZ-ASF,145,41,Unknown,5/8/20,5/11/20,33.36164,-109.0886,Timber (Litter and Understory),AZ,ASF,145,USFS,7,WMZ,SDC
EAST DESERT,AZ-A4S,491,1492,Human,5/17/20,5/22/20,33.84136,-112.0204,Tall Grass (2.5 feet),AZ,A4S,491,AZS,5,CWZ,ADC
Jackrabbit,AZ-PHD,674,2034,Unknown,5/25/20,5/27/20,33.8069444,-113.0497222,Brush (2 feet),AZ,PHD,674,BLM,2,CWZ,PDC
Hat,AZ-PHD,695,583,Unknown,5/27/20,6/1/20,32.6444444,-112.7413889,Short Grass (1 foot),AZ,PHD,695,BLM,2,CWZ,PDC
Park,AZ-SCA,1214,625,Unknown,5/27/20,6/10/20,33.3652778,-110.4511111,Short Grass (1 foot),AZ,SCA,1214,BIA,1,CWZ,PHC
RANGE,AZ-A3S,635,3286,Human,5/29/20,5/31/20,33.0983333,-111.3561111,Tall Grass (2.5 feet),AZ,A3S,635,AZS,5,SEZ,TDC
OCOTILLO,AZ-A4S,655,980,Unknown,5/30/20,6/2/20,33.83708,-111.9597,Tall Grass (2.5 feet),AZ,A4S,655,AZS,5,CWZ,ADC
Sawtooth,AZ-TNF,1306,24729,Lightning/Natural,5/31/20,6/17/20,33.40184,-111.2973,Short Grass (1 foot),AZ,TNF,1306,USFS,7,CWZ,PHC
Sunset,AZ-PHD,756,3964,Human,5/31/20,6/6/20,34.14984,-112.1391,Tall Grass (2.5 feet),AZ,PHD,756,BLM,2,CWZ,PDC
RAFAEL,AZ-A3S,677,440,Lightning/Natural,5/31/20,6/7/20,31.3375,-110.5947222,Tall Grass (2.5 feet),AZ,A3S,677,AZS,5,SEZ,TDC
